avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
0.62,114.2,2018-06-22,2018-05-23,Apparel,Winchester,"A high security, urban messenger bag that converts into a headrest providing maximum comfort and security for travellers and commuters.",135,"{2: 0, 8: 0, 60: 3, 65: 0, 70: 0, 350: 1, 650: 0}",4408,£,13000,4.39,571,5,0,2,0,2,Andrew Walker,False,True,UK,Cancelled by Creator,"Napsak - Stylish, secure & comfortable. A stunning bag."
39.5,256.64,2018-06-22,2018-06-19,Design,Mount Maunganui,Is This The World's Greatest Letter Opener? Made From Grade 5 Titanium. Ultra-Minimalist. ...Built To Last A LIFETIME!,118,"{186: 42, 229: 92, 329: 6, 399: 14}",6778,$,2900,1398.24,40549,158,16,0,0,9,Magnus Macdonald,False,False,NZ,Funding Successful,The Ultimate Titanium Letter Opener!
7.5,95.07,2018-06-23,2018-05-23,Indie Rock,Mankato,"Let's go for the gold with our second studio album, ""It Could Have Been You""!",77,"{1: 0, 10: 13, 25: 32, 40: 4, 50: 14, 75: 4, 100: 9, 200: 2, 400: 2, 600: 0, 750: 1}",2922,$,7500,114.08,8556,90,1,0,0,4,Good Night Gold Dust,False,False,MN,Funding Successful,Good Night Gold Dust | It Could Have Been You
12.0,124.2,2018-06-23,2018-06-01,Spaces,St. Paul,"Creating fresh spun gourmet cotton candy made with organic cane sugar and no artificial dyes. Spinning out smiles, spreading the joy!",133,"{10: 9, 15: 4, 25: 79, 45: 8, 55: 13, 75: 7, 100: 26, 150: 6, 300: 1, 500: 1, 1: 0, 2: 1, 5: 0}",2489,$,25000,101.35,25337,204,0,0,0,13,Tevy,False,False,MN,Funding Successful,Spinning Wylde Cotton Candy Shop
1.0,1.0,2018-06-22,2018-05-23,Apparel,Santa Ana,"Ill be creating a clothing line, it will be including t-shirts, long sleeves, hats, and accessories as well",107,{25: 0},399,$,15000,0.01,1,1,0,0,0,1,Ryan Ly,True,False,CA,Funding Unsuccessful,L1FE
10.33,12884.54,2018-06-23,2018-05-24,Pop,Tokyo,"EDEN KAI 2nd Album の制作及びプロモーション
EDEN KAI's 2nd Album production and promotion",78,"{2: 19, 3: 54, 5: 3, 7: 12, 10: 4, 15: 10, 20: 2, 25: 10, 50: 3, 300: 2, 750: 0}",4037,¥,1000000,159.77,1597683,124,2,0,0,27,EDEN KAI,False,False,Japan,Funding Successful,EDEN KAI - 2nd Album Project
1.36,47400.3,2018-06-23,2018-05-24,Product Design,Tokyo,KATURA Knife ~ 45 Layer Hammered Damascus AUS10 Stainless Steel Blade with Premium Wood Handle ~ 100% Handcrafted in Japan,122,"{14: 2, 16: 1, 17: 3, 18: 3, 19: 4, 21: 0, 22: 1, 23: 0, 28: 1, 32: 0, 38: 2, 46: 2, 52: 0, 54: 2, 59: 0, 84: 0, 95: 3, 105: 3, 122: 2}",7783,¥,1200000,118.5,1422009,30,2,0,0,3,KIKUSUMI,False,False,Japan,Funding Successful,KATURA Handcrafted Kitchen Knife Made in Japan by Kikusumi
0.33,9.0,2018-06-23,2018-06-05,Film & Video,Iowa City,Vampires travel like wild animals and a pack has moved into town. Trapped together a group of innocent people try and survive the night,135,"{15: 0, 25: 1, 40: 0, 50: 0, 175: 0, 200: 0, 300: 0, 500: 0, 2: 0}",2580,$,12500,0.22,27,3,0,12,0,0,Bill Albert,False,True,IA,Funding Unsuccessful,The Pack
491.33,42.08,2018-06-23,2018-05-23,Tabletop Games,Sylvan Lake,"Transform the game box in this fast-action card & dice game. Play anywhere, play everywhere!",92,"{28: 1, 50: 163, 475: 11}",1279,$,8000,775.25,62020,1474,724,0,7,35,2niverse Games,False,False,Canada,Funding Successful,Tiny Ninjas - Battle in a Box
4.0,5.5,2018-06-23,2018-05-22,Film & Video,Long Island,Norman Smith suffers a public breakdown in the presence of the bounty hunter assigned to return his twin brother back to the asylum.,132,{100: 0},1174,$,2000,1.1,22,4,0,0,0,0,John Flanagan,False,True,NY,Funding Unsuccessful,"Yes, I Have Been Ill"
15.67,125.04,2018-06-22,2018-06-05,Publishing,Chicago,The Center for Progressive Strategy and Research is a Think and Do Tank that conducts policy analysis to assist organizing campaigns.,133,"{25: 24, 250: 1, 500: 2}",4485,$,5500,106.85,5877,47,0,0,0,0,Michael Collins,False,False,IL,Funding Successful,The Center for Progressive Strategy and Research
2.0,131.4,2018-06-23,2018-05-24,Tabletop Games,Salt Lake City,"Iconic Character ""Valeros"" - 1 of 6 coins in the collectable series",67,"{15: 0, 25: 0, 55: 3, 85: 11, 100: 0, 125: 1, 150: 0, 250: 2, 350: 1, 500: 1}",3938,$,25000,10.51,2628,20,2,0,0,1,Trenton McKean,False,True,UT,Cancelled by Creator,Pathfinder Roleplaying Game 2oz .999 Silver Coin Series
84.67,49.37,2018-06-23,2018-06-07,Graphic Design,Portland,A reboot of the LGBTQ Pride flag with an emphasis on inclusion and progression.,79,"{1: 22, 5: 112, 40: 323, 80: 41, 500: 0}",1925,$,14000,179.16,25082,508,19,0,2,26,Daniel Quasar,False,False,OR,Funding Successful,"""Progress"" A PRIDE Flag Reboot"
0.5,1.0,2018-06-23,2018-05-29,Rock,Sydney,I am here to fund equipment and other things i need to record my first Ep. it's called 'Elbow Grease' and is 5 songs in length.,127,"{10: 0, 25: 0}",1148,$,3000,0.03,1,1,0,0,0,0,Joe George,True,False,AU,Funding Unsuccessful,Joe George - Elbow Grease
0.8,23.75,2018-06-23,2018-04-24,Technology,Port Byron,OpeE - Splits bandage packages and cleaves trash bags!,54,"{7: 1, 15: 2, 20: 0, 25: 0, 150: 0}",3123,$,20700,0.46,95,4,2,5,0,1,Jacob Lee Downey,False,True,IL,Funding Unsuccessful,OpeE - The bandage opener
30.64,105.34,2018-06-22,2018-06-01,Literary Spaces,Georgetown,"Programming and interactive displays for an independent bookstore in Georgetown, Texas.",87,"{1: 12, 5: 0, 10: 7, 20: 46, 25: 39, 30: 88, 100: 76, 250: 22, 500: 18, 750: 0}",2418,$,30000,118.33,35500,337,2,0,5,5,Jane Estes and the Lark & Owl Team,False,False,TX,Funding Successful,"Lark & Owl Booksellers, an independent bookstore"
