avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
9.5,48.26,2019-01-03,2018-12-04,Art Books,Dallas,"I have a collection of poetry from throughout my lifetime, and would like to create a photography book that pairs poems with photos.",132,"{10: 1, 25: 15}",2924,$,7500,12.23,917,19,0,0,0,3,Katy Mead,True,False,TX,Funding Unsuccessful,Holes in Human Hearts - Poetry and Photography Pairings
19.0,56.91,2019-01-03,2018-12-04,Publishing,Washington,A self-helpish book about caring for yourself.,46,"{1: 1, 20: 37, 30: 26, 40: 19, 100: 3}",1756,$,4000,135.15,5406,95,0,0,0,3,Erin Segal,False,False,DC,Funding Successful,selfcarefully
3.5,30.68,2019-01-03,2018-11-19,Indie Rock,Dundee,"FLEAM; ten songs of unimaginable originality and genius, nobody sounds quite like STOOR!",88,"{16: 3, 20: 11, 26: 2, 28: 1, 30: 0, 32: 2, 38: 0, 42: 4}",887,£,750,114.53,859,28,0,0,0,2,STOOR,False,False,UK,Funding Successful,STOOR's 2nd Album--FLEAM
8.75,438.97,2019-01-03,2018-12-04,Product Design,San Marcos,"The Best of Times Bar V2 is a fully customizable, portable, premium bar packed with features so you can have a good time anywhere",129,"{279: 3, 379: 10, 479: 14}",10587,$,15000,102.43,15364,35,16,0,0,1,Best of Times,False,True,CA,Cancelled by Creator,BEST OF TIMES BAR V2: It’s a Bar. In a Bag. Designed by You.
34.25,292.23,2019-01-03,2018-11-29,Gaming Hardware,Orlando,"An arcade stick with a full-analog joystick and ergonomic design that works on your PC, Nintendo 64, GameCube, Wii, Wii-U, and Switch.",134,"{1: 15, 225: 14, 249: 60, 475: 41}",2159,$,55000,72.79,40036,137,45,0,7,4,Alt Lab Controllers,False,True,FL,Funding Unsuccessful,Smash Stick - The Analog Arcade Stick
0.4,1.0,2019-01-03,2018-12-04,Letterpress,Steyr,A book of interesting short stories about real people.,54,"{10: 0, 20: 0, 40: 0, 100: 0, 200: 0}",1121,€,2500,0.08,2,2,0,0,0,0,Dany Tochenhagen,True,False,Austria,Funding Unsuccessful,The Real Facebook
0.25,1.0,2019-01-03,2018-11-04,Radio & Podcasts,Rapid City,"Our motto is to ""Find Your Unknown."" We want our brand to encourage others to pursue their dreams and do it with a debt free lifestyle.",135,"{8: 0, 30: 0, 50: 0, 100: 0}",1626,$,1000,0.1,1,1,0,0,0,3,Jacob and Amy Karras,False,True,SD,Cancelled by Creator,Unnamed Adventures is Creating a Lifestyle Brand!
71.12,59.64,2019-03-11,2019-02-27,Nonfiction,San Francisco,Help launch a bold new book about the end of predatory delay and the beginning of rapid climate action.,103,"{9: 259, 25: 119, 50: 115, 99: 40, 250: 16, 1: 2, 2: 0, 10: 1}",5958,$,21000,161.6,33936,569,10,0,0,3,Alex Steffen,False,False,CA,Funding Successful,The Snap Forward: New thinking for winning the climate fight
1.0,1.0,2019-03-11,2019-01-10,Jewelry,Brooklyn,"I will be making wide variety of jewelry ranging from beaded to luxury stones, in all different price ranges & will take custom orders",134,{150: 0},338,$,20000,0.01,1,1,0,2,0,0,RHV,True,False,NY,Cancelled by Creator,Luxury & Semi-luxury jewelry
6.71,149.79,2019-01-03,2018-12-08,Radio & Podcasts,Copenhagen,En podcast om den legendariske dokumentarserie om Dahlgårds Tivoli. I første omgang episode 1-4.,96,"{50: 9, 100: 20, 150: 7, 300: 4, 400: 1, 500: 2, 5: 0}",2210,kr,5000,140.8,7040,47,0,0,0,2,Pelle Lundberg Jørgensen,False,False,Denmark,Funding Successful,Dahlgårds Tivoli Podcasten - episode 1-4
3.25,50.23,2019-01-03,2018-12-04,Classical Music,Columbus,Support the American Trombone Quartet in the making of their first album featuring newly commissioned works for trombone quartet.,129,"{15: 5, 25: 8, 35: 6, 45: 3, 75: 0, 100: 2, 1: 0, 2: 0}",1665,$,6000,21.77,1306,26,0,0,0,0,American Trombone Quartet,False,True,GA,Funding Unsuccessful,"American Trombone Quartet ""Premiere!"" Recording Project"
0.86,72.17,2018-12-22,2018-10-23,Crafts,Peckham,FeelingWood has evolved able to apply my abilities to create original products. My goal is to create furniture using reclaimed material,135,"{2: 0, 15: 3, 40: 0, 120: 1, 140: 0, 180: 0, 200: 1}",638,£,3000,14.43,433,6,1,0,0,0,Pasquale,False,True,UK,Funding Unsuccessful,Ladder Shelves
7.0,35.52,2019-01-03,2018-12-04,Art,Cardiff,Collectable Pokemon inspired pin and souvenir set,49,"{8: 5, 9: 27, 16: 4, 18: 28, 24: 5, 27: 6, 32: 5, 36: 2, 40: 5, 45: 0, 48: 3, 54: 0, 55: 5, 60: 8, 63: 0, 65: 8}",1269,£,250,1591.2,3978,112,12,0,0,9,Emma Jane,False,False,UK,Funding Successful,Pokémon Trainer Kit Anime Enamel Pins
17.54,69.04,2018-12-22,2018-12-01,Drama,London,"ONE IN FIVE: a 12 minute drama about an unlikely bond between two mothers, forged in the darkness of an episode of postnatal depression",135,"{1: 13, 10: 72, 24: 2, 25: 50, 50: 23, 100: 22, 250: 5, 500: 5, 2: 0}",9723,£,13800,114.07,15742,228,2,0,0,10,Sarah Beardsall,False,False,UK,Funding Successful,ONE IN FIVE: a short film about postnatal depression
2.0,1.0,2018-12-22,2018-11-22,Apps,Newcastle,An app that detects and highlights a lost key or set of keys visible in the camera of the device,96,{15: 0},308,$,1200,0.17,2,2,0,0,0,0,Patrick Rice-O'Connor,True,False,AU,Funding Unsuccessful,Find my Keys
1.5,504.5,2018-12-22,2018-11-29,Food,Culiacan,Algo para continuar con tu día. Con los deliciosos ingredientes de Starken sentirás la diferencia.,98,"{10: 1, 500: 0, 1: 0, 3: 0}",2268,MX$,3000,100.9,3027,6,0,0,0,0,Beatriz Negrete,False,False,Mexico,Funding Successful,Starken
1.0,235.0,2018-12-22,2018-11-22,Fashion,Hong Kong,"Hang clothes tree simply, it is OK to let satchel, clothings, cap superpose, also be good idea.",95,"{50: 0, 200: 5, 240: 0, 420: 0, 620: 0, 1: 0}",2187,HK$,5000,28.2,1410,6,0,0,0,0,Simple natural solid wood coatrack,False,True,Hong Kong,Cancelled by Kickstarter,Simple natural solid wood coatrack- A chic for modern room
7.0,30.93,2018-12-22,2018-11-22,Apps,Singapore,"A  non-monetary community platform that matches nearby folks based on their offers and wishes, helps them to share service and goods.",133,"{3: 2, 15: 9}",3133,$,5200,8.33,433,14,1,0,0,0,BulbUp,False,True,Singapore,Funding Unsuccessful,"ShareNet: Match, Meet, Help"
8.0,75.88,2019-03-11,2019-02-06,Music,Lakeland,My very 1st professionally recorded Album featuring original songs written 2014-2018!,85,"{20: 26, 200: 1, 300: 0, 400: 2}",1268,$,3000,101.17,3035,40,0,0,0,2,Patricia Kenoly,False,False,FL,Funding Successful,Arbitration-Based
0.62,35.0,2018-12-22,2018-10-23,Public Art,Oslo,Send a fake political party to Brussles in May 2019. We're gonna use fake politics to shake real politics in Europe.,116,"{10: 1, 100: 0, 500: 0, 1: 0, 5: 0, 15: 0, 25: 0, 50: 0}",7293,kr,300000,0.06,175,5,1,0,0,0,The Intelligence Party,False,True,Norway,Funding Unsuccessful,The Intelligence Party
0.56,101.8,2019-01-03,2018-12-04,Video Games,Zapopan,"2-D platformer game inspired by ""Super Mario World"" and ""Donkey Kong Country"" , with handmade animations and backgrounds.",121,"{100: 0, 160: 1, 200: 0, 300: 1, 2: 0, 5: 0, 10: 0}",4801,MX$,60000,0.85,509,5,2,4,0,0,Chihuas Games,False,True,Mexico,Funding Unsuccessful,Strong-Moon
1.6,35.88,2018-12-22,2018-11-22,Cookbooks,Venice,"I'm going to write a new Cookbook with all the best traditional recipes and stories, made by old Italian grandmothers.",118,"{5: 1, 20: 4, 50: 0, 150: 1, 1: 0}",1428,€,4000,7.17,287,8,1,0,0,0,Giacomo Zangrando,False,True,Italy,Funding Unsuccessful,Memories from Italy
0.75,15.17,2018-12-22,2018-11-19,Horror,London,Violence and Art collide under the veil of Black Lake - a film about a Churail (South-Asian Witch).,99,"{5: 1, 10: 0, 15: 0, 20: 0, 25: 2, 40: 0, 75: 0, 666: 0}",0,£,2000,4.55,91,6,2,14,0,1,K Pervaiz,True,False,UK,Cancelled by Creator,Black Lake - Independent Feature Film Completion
34.0,36.5,2019-02-06,2019-01-17,Tabletop Games,Houston,"Destination Danger is a pocket-sized role-playing adventure set in the 1930s. It can be played anywhere, anytime, and with anyone!",130,"{1: 16, 10: 20, 20: 163, 35: 0, 50: 105, 75: 20, 85: 6, 250: 2, 4: 0}",9949,$,4000,310.25,12410,340,93,0,2,17,Jeff Rosenbaugh,False,False,TX,Funding Successful,Destination Danger by Guardian Moon Games
16.14,111.2,2018-12-22,2018-11-12,Music,Detroit,"A filmed concert DVD/BluRay/Digital version of Electric Six Live In Liverpool, England",86,"{20: 134, 30: 276, 60: 30, 80: 103, 100: 89, 150: 1, 165: 11, 300: 10, 500: 14, 1: 12, 2: 1, 3: 3, 5: 0}",7450,$,30000,257.24,77173,694,20,0,3,1,Electric Six,False,False,MI,Funding Successful,Electric Six - Live In Liverpool
3.0,14.08,2019-01-03,2018-12-04,Tabletop Games,Naples,Have Fan is a cardboard game that mixes together creativity and clever point assignment to get the funniest of the games!,121,"{1: 2, 25: 6, 45: 0, 100: 0}",2803,€,25000,0.68,169,12,0,0,0,1,Marco Venturelli,False,True,Italy,Funding Unsuccessful,Have Fan
9.0,152.62,2018-12-22,2018-11-29,Art Books,Melbourne,My Creative Life is a carefully crafted art book capturing the textile art and inspiration of textile artist Michelle Mischkulnig.,130,"{10: 2, 55: 35, 60: 12, 80: 8, 110: 2, 165: 1, 200: 4, 250: 23, 340: 1}",5432,$,10000,137.36,13736,90,0,0,0,6,Ryan M,False,False,AU,Funding Successful,My Creative Life - the textile art of Michelle Mischkulnig
7.88,99.71,2019-02-06,2019-01-06,Shorts,Nashville,The story of a how a father's unwavering and unconditional love will affect his children's futures.,99,"{1: 2, 10: 12, 25: 17, 50: 9, 100: 10, 250: 2, 500: 1}",1488,$,6000,104.7,6282,63,0,0,0,3,Elijah Perry,False,False,TN,Funding Successful,Hero (A short film)
16.67,81.1,2019-02-06,2019-01-10,Dance,Los Angeles,"Wacsmash is a student produced, choreographed, funded, and created showcase of work by UCLA World Arts & Cultures/Dance students.",129,"{35: 8, 70: 17, 100: 13}",1942,$,3000,135.17,4055,50,0,0,0,0,WACUS,False,False,CA,Funding Successful,Wacsmash 2019: WACD R&D
1.56,517.08,2018-12-22,2018-11-22,Software,Milan,"Readers get Superpowers
Reading, studying and sharing texts with superpowers
Leggere, studiare e condividere testi con i superpoteri",134,"{5: 1, 10: 4, 15: 3, 20: 3, 30: 1, 75: 2, 150: 0, 200: 0, 250: 3, 400: 0, 500: 2, 1: 0}",1792,€,20000,64.63,12927,25,2,0,0,5,Giampaolo Ferradini,False,True,Italy,Funding Unsuccessful,The Knowledge Juicer - Kjuicer
2.8,15.21,2019-02-06,2019-01-17,Tabletop Games,Salt Lake City,Four PF/3.5 classes that give you something awesome every time you level up.,76,"{1: 2, 10: 8, 25: 1, 50: 0, 100: 1}",7312,$,800,26.62,213,14,0,3,0,4,Chamomile Has A Project,False,True,UT,Funding Unsuccessful,[Quickstarter] Magignosis
4.75,35239.84,2019-02-06,2018-12-27,Product Design,Kobe-shi,Ethically Made Business Leather Backpack Made by Bangladeshi Craftsmen,70,"{1: 1, 2: 3, 35: 26, 68: 6}",6198,¥,1050000,127.53,1339114,38,1,0,1,23,Jillanie,False,False,Japan,Funding Successful,"Jillanie, A Fair Brand of Handmade Leather Bags"
0.83,8.2,2019-02-28,2019-01-29,Video Games,Tampa,I am creating a rogue-like turn-based RPG starting your journey upon birth. You're life choices determine your dungeon and challenges.,134,"{1: 0, 5: 2, 10: 1, 20: 1, 50: 0, 100: 0}",2051,$,4000,1.03,41,5,0,3,1,0,Nathan Binford,True,False,FL,Funding Unsuccessful,The Dankest Odyssey Video Game
0.57,14.0,2018-12-22,2018-11-22,Footwear,Athens,Amrita is the first footwear brand worldwide to offer grounding shoes with interchangeable energy healing crystals ~Handmade in Greece~,135,"{10: 2, 35: 1, 90: 0, 110: 0, 130: 0, 140: 0}",188,€,10000,0.56,56,4,0,0,0,0,Cassandra Michael,False,True,Greece,Funding Unsuccessful,Amrita - Handmade grounding shoes with healing crystals
0.8,126.5,2019-02-28,2019-01-14,Art,Nashville,Absolute Life Changing Authentic TILII Tibetan Dzi Bead and Gemstone Necklace.,78,"{69: 0, 129: 1, 169: 1, 189: 1, 249: 0}",8157,$,75000,0.67,506,4,0,0,0,0,TILII,False,True,TN,Cancelled by Creator,TILII Certified Tibetan Dzi Bead Necklace
1.83,53.73,2019-02-28,2019-01-29,Woodworking,Akron,Invite a little style into your home with hand crafted maple accent pieces for food and drink.,94,"{10: 0, 25: 2, 35: 1, 45: 2, 50: 4, 75: 1}",2327,$,500,118.2,591,11,2,0,0,5,Aaron Maas,False,False,OH,Funding Successful,Make/100 - Pyrography - Wooden Coasters and Serving Trays
10.25,23.17,2018-12-22,2018-11-22,Illustration,Swansea City and County,"Seeking funding to print a 32 page hardcover book, with an illustration for all 29 letters of the Welsh Alphabet.",113,"{3: 3, 10: 21, 30: 10, 50: 3}",2938,£,170,558.82,950,41,0,0,0,9,Mark Hughes,False,False,UK,Funding Successful,"Yr Wyddor, an illustrated Welsh language alphabet hardcover."
4.17,30.28,2019-02-06,2019-01-07,Fiction,Portland,"Mystery in History. 

 Ancient Italy. A Beautiful Heiress. A Powerful Merchant. A Broken Agreement. Argolicus unravels the threads.",131,"{5: 1, 10: 7, 25: 11, 40: 2, 100: 1}",5109,$,3100,24.42,757,25,3,0,4,12,Zara Altair,False,True,OR,Funding Unsuccessful,The Grain Merchant: An Argolicus Mystery
4.71,50.09,2019-02-28,2019-02-01,Design,State College,"Koveroo Bedding has created the amazing,180/360 blanket. This blanket has a integrated pocket for your legs and feet to keep you warm.",134,"{10: 1, 45: 20, 50: 5, 69: 2, 90: 2, 139: 1, 1: 0}",2366,$,15000,11.02,1653,33,2,0,0,3,Koveroo Bedding LLC.,False,True,PA,Funding Unsuccessful,"The Koveroo 180/360 Blanket, All Ways Covered Always Warm."
16.4,283.5,2019-02-06,2019-01-08,Sculpture,Irvine,Alien Skulls sculpted by artist Dom Qwek presented as collectible art sculpture.,80,"{150: 35, 400: 41}",1613,$,10000,232.47,23247,82,7,0,1,11,Dominic Qwek,False,False,CA,Funding Successful,Alien Skulls
7.74,55.49,2019-02-28,2019-02-08,Playing Cards,Toronto,"An artistic professional pack of playing cards for designed and hand illustrated for games, magic and cardistry.",112,"{16: 52, 20: 5, 32: 52, 40: 3, 44: 11, 48: 8, 60: 1, 64: 9, 69: 18, 72: 0, 77: 3, 84: 6, 96: 1, 133: 1, 147: 0, 159: 1, 186: 2, 199: 0, 332: 1, 1: 0, 6: 0}",8106,$,8000,123.47,9878,178,38,0,0,4,Mahdi Gilbert,False,False,Canada,Funding Successful,Emanations Playing Cards | A Study of Real Magic
5.75,70.04,2019-02-28,2019-02-01,Comic Books,Boca Raton,"In a time of Love & Romance, celebrate the Darkest, Dreariest, Most Demonic Dames & Relationships w Poetry & Art.  Happy Anti-Valentine",135,"{16: 5, 25: 58, 35: 40, 77: 14, 140: 9, 250: 1, 325: 0, 333: 8, 340: 0, 600: 1, 666: 0}",1348,$,2500,386.64,9666,138,6,0,0,47,HooligansCO,False,False,FL,Funding Successful,Faro's Lounge -- The Anti-Valentine's Day Sketchbook
44.57,20.39,2019-02-28,2019-02-11,Tabletop Games,Boston,a game about seeking and finding in the woods of Salem,54,"{4: 46, 9: 88, 15: 139, 30: 9, 50: 27}",3810,$,700,908.86,6362,312,8,0,0,13,Will Jobst,False,False,MA,Funding Successful,Black Mass
4.0,39.0,2019-02-28,2019-02-06,Radio & Podcasts,New York,Time to tell your story.,24,{25: 3},626,$,625,24.96,156,4,0,0,0,0,Cindy Clifford,True,False,NY,Funding Unsuccessful,Make 100 Personal Podcast Portraits
16.4,57.62,2019-02-28,2019-02-01,Art,Canton,A Spring Festival Pin & Art Celebration,39,"{9: 27, 10: 8, 18: 76, 26: 49, 35: 13, 44: 15, 52: 2, 61: 4, 70: 2, 79: 1, 88: 0, 96: 0, 105: 0, 120: 5, 175: 41}",5971,$,8250,171.81,14174,246,12,0,0,12,Alchemy Art Group,False,False,OH,Funding Successful,The Essence of Red: Lunar New Year Enamel Pins
1.25,372.07,2019-02-28,2019-02-01,Painting,Jersey City,Help me to start my art company and be the first to own my T-shirts and tote bags!,82,"{10: 5, 40: 3, 70: 0, 5: 1}",1043,$,5000,111.62,5581,15,0,0,0,0,LaVerne Phoebe Ploom,False,False,NJ,Funding Successful,Kickstarting My African American Folk Art Corporation
21.67,52.71,2019-02-28,2019-01-31,Music,Somerville,"a boutique music shop, production studio & tech experience at Bow Market",72,"{15: 16, 25: 37, 35: 17, 40: 25, 150: 5, 450: 0}",1840,$,6000,114.2,6852,130,0,0,0,0,Erik Sarno,False,False,MA,Funding Successful,union sound
0.22,23.0,2019-02-06,2018-12-08,Shorts,Manhattan,"A 12 minutes short film about domestic violence, women independence and American Asian Community in New York.",109,"{5: 0, 13: 0, 20: 0, 35: 1, 49: 0, 85: 0, 150: 0, 320: 0, 1: 0}",2129,$,11000,0.42,46,2,1,0,0,0,David Young,False,True,NY,Funding Unsuccessful,Family violence themed film aiming4 New York Film festivals
90.33,86.23,2019-02-28,2019-02-04,Tabletop Games,Jersey City,A strategy board game of construction and corruption for 1-4 players.,69,"{99: 161, 250: 14, 500: 2}",11644,$,80000,29.21,23367,271,62,8,0,3,Gil Hova,False,True,NJ,Cancelled by Creator,High Rise
3.3,202.48,2019-03-13,2019-02-11,Children's Books,Jersey City,This book ignites your child's passion for words by employing an inventive mixture of artistry and lexicon,106,"{5: 1, 20: 10, 30: 5, 50: 2, 70: 1, 100: 2, 250: 3, 500: 2, 1: 1, 2: 1}",181,$,15000,44.55,6682,33,2,0,0,2,Sudio Sudarsan,False,True,NJ,Cancelled by Creator,A WORD TO THE EYES
10.75,13.02,2019-03-13,2019-02-11,Product Design,Plymouth,Microstove Ultra Light made from hard anodised aluminium...the worlds lightest and compact EDC survival hiking and camping stove,128,"{11: 29, 12: 2, 13: 1, 22: 9}",599,£,400,140.0,560,43,4,0,0,6,mark turnbull,False,False,UK,Funding Successful,Microstove UL The worlds lightest camping stove
36.83,48.87,2019-03-13,2019-02-11,Technology,Cleveland,An entirely new way to increase your sexual frequency and boost your romantic relationship with the simple press of a button,124,"{44: 127, 45: 40, 50: 166, 55: 65, 57: 7, 58: 0, 102: 2, 109: 10, 190: 0}",626,$,7500,288.0,21600,442,43,0,7,17,LoveSync,False,False,OH,Funding Successful,LoveSync | Kickstart Your Love life
7.33,34.82,2019-03-13,2019-03-01,Photobooks,Ottawa,A free and independent semi-regular publication of analog black and white photography by local artists needs a printer!,119,"{10: 13, 45: 4, 200: 1}",3090,$,300,255.33,766,22,3,0,3,6,Kenneth,False,False,Canada,Funding Successful,Do It For The Grain
20.5,34.38,2019-03-13,2019-02-11,Design,Columbus,The fun card game that helps you be more creative,49,"{5: 2, 25: 140, 48: 16, 69: 3, 126: 1, 240: 0, 300: 0, 2: 0}",3150,$,12500,45.1,5638,164,13,3,0,5,Matt Vojacek,False,True,OH,Funding Unsuccessful,The Game of Creativity: Volume 2
3.6,16.56,2019-03-13,2019-02-11,Accessories,Louisville,"A zodiac themed hard enamel pin designed by McMadmissile and manufactured by Jiayue Pins Co., LTD.",98,"{1: 1, 10: 5, 15: 5, 20: 3, 30: 1}",955,$,500,59.6,298,18,0,0,0,4,AURELIA LEO,True,False,KY,Funding Unsuccessful,AURELIA LEO ☀ Zodiac Enamel Pin ☀
17.27,74.37,2019-03-13,2019-02-19,Games,Houston,"CNC machined from a single piece of solid Copper Tungsten, 99.9% pure Copper, Zirconium or Titanium! The Ultimate Dexterity Trainer!",132,"{25: 140, 29: 73, 39: 3, 54: 13, 149: 4, 159: 0, 299: 1, 319: 0, 499: 18, 950: 2, 1: 0, 2: 0}",3673,$,2000,963.1,19262,259,42,0,0,6,Polar Metals,False,False,TX,Funding Successful,"Polar Exotic Metals Dexterity Trainers: WCu, Cu, Zr, Ti"
17.0,69.47,2019-03-13,2019-02-28,Horror,Mendocino,"Set along the jagged Mendocino coast, Dylan is a short fantasy horror about a boy who is coerced into an ocean society.",119,{30: 9},5388,$,935,126.31,1181,17,2,0,0,0,Hana Bixler,False,False,CA,Funding Successful,Dylan - A Short Film
8.68,93.99,2019-03-13,2019-02-13,Design,Memphis,"3D machined with precision! Fire Dragon, Frost Wyrm, Griffin, Tiger, Unicorn, Siberian Wolf.",92,"{2: 2, 25: 72, 29: 8, 75: 26, 79: 0, 99: 16, 109: 0, 129: 18, 139: 0, 199: 44, 389: 1, 579: 0, 959: 0, 1: 0}",1943,$,1000,1795.2,17952,191,40,0,0,1,Kirich Metals,False,True,TN,Cancelled by Kickstarter,Kirich Metals: 3D Solid Steel Beasts
6.57,17.87,2019-02-06,2019-01-07,Art,Paris,Queer Witch enamel pins to wear your witchy vibes with pride!,61,"{1: 1, 10: 23, 15: 15, 25: 6, 40: 0, 75: 0, 120: 0}",1274,€,300,274.0,822,46,0,0,0,7,Potassium,False,False,France,Funding Successful,Queer Witch Enamel Pins - Make/100
19.23,37.07,2019-03-05,2019-01-29,Digital Art,Garden Grove,"This collection is a combination of three of my favorite things in the world, the beauty of fragrances, flowers, and eeveelutions.",130,"{1: 1, 10: 6, 12: 119, 24: 52, 36: 24, 48: 13, 50: 7, 60: 4, 72: 0, 80: 1, 90: 1, 95: 17, 100: 3}",1542,$,300,3089.33,9268,250,17,0,0,19,Judy V Nguyen,False,False,CA,Funding Successful,Pokemon Eeveelutions Fragrance Enamel Pin Collection
0.69,192.56,2019-02-28,2019-01-30,Sculpture,Raleigh,An online exhibition of lasercut sculptures.,44,"{100: 11, 200: 2, 750: 0, 1: 1, 3: 0, 5: 0, 10: 0}",7893,$,20000,17.33,3466,18,0,0,0,1,Grebniew Kaz,False,True,NC,Funding Unsuccessful,Laser Beams | Manifest Dreams
3.75,43.67,2019-02-28,2019-02-02,Art,Toronto,Give Retro Some Love With this Ultimate Hug Pin <3,50,"{14: 2, 17: 5, 18: 3, 36: 3}",112,$,550,119.09,655,15,0,0,0,3,Shawn Starr,False,False,Canada,Funding Successful,The Ultimate Hug
9.0,1.89,2019-03-05,2019-03-04,Zines,Stanford,A minimalist guide to creating a crowd funding campaign.,56,{1: 7},537,$,5,340.0,17,9,8,0,0,3,Beau,False,False,CA,Funding Successful,Creative Manual ⬜
